"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","block_type","block_number","counterbalance_id","accuracy","question_order"
"true","false","[]","[]","[]","preload","0","323","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","false","[]","[]","[]","preload","1","1444","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","2693","0.0-2.0","1348","679","true","chrome","136.0.0","false","Windows 10","true","60.48","true","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","96535","0.0-3.0","","","","","","","","","","","","93587","
        <div class=""text"" id=""instruction"" >
            <img src=""../images/stanford_logo.png"" alt=""stanford logo"" width=""180"" height=""80"">
            <p><b>Only complete this study if you are a Massachussets resident who is 18 years old or older.</b></p>
            <p>Please share this link with other people you know who live in the area, but <u>do not participate in this study more than once</u>.
            <BR>You will not be compensated more than once.</p> 
            <p>In this experiment, you will be listening to pairs of audio clips.</p>
            <p>Each pair of audio clips will be played once in consecutive order. Your task is to decide which one of the clips sounds like the speaker was born in Boston.</p>
            <p>Please ensure that you use earphones or headphones for the duration of this experiment.</p>
            <p>This experiment should be completed on a <b><u>desktop or laptop</u></b> using the <b><u>Google Chrome browser</u></b>.</p>
            <p>The experiment will take approximately 20 minutes. You will be compensated as advertised on Prolific for your time.</p>
        </div>
      ","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","99549","0.0-4.0","","","","","","","","","","","","2752","<p><strong>Thank you for your participation in this study. Please read the protocol below.</strong></p>
        <p>Protocol Director: Robert Hawkins</P
        <p>Protocol Title: Communication and social cognition in natural audiovisual contexts IRB# 77226</p>
        <p>DESCRIPTION: You are invited to participate in a research study about language and communication. 
        The purpose of the research is to understand how you interact and communicate with other people in naturalistic settings as a fluent English speaker. 
        This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. 
        If you decide to participate in this research, you will play a communication game in a group with one or more partners.</p>
        <p>TIME INVOLVEMENT: The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.</p>
        <p>RISKS AND BENEFITS: You may become frustrated if your partner gets distracted, or experience discomfort if other participants in your group 
        send text that is inappropriate for the task. We ask you to please be respectful of other participants you might be
        interacting with to mitigate these risks. You may also experience discomfort when being asked to discuss or challenge emotionally salient political beliefs. Study data will be
        stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people
        communication and collaborate in naturalistic settings. This study may lead to further
        insights about what can go wrong in teamwork, suggest potential interventions to
        overcome these barriers, and help to develop assistive technologies that collaborate with
        human partners. We cannot and do not guarantee or promise that you will receive any benefits from this study.</p>
        <p>PAYMENTS: You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have
        spent. Additionally, you may be eligible for bonus payments as described in the instructions.</p>
        <p> PARTICIPANTS RIGHTS: If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right
        to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative
        is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or
        published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data
        from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you.</p>
        <p>CONTACT INFORMATION: Questions: If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (rdhawkins@stanford.edu, 217-549-6923).</p>
        <p>Independent Contact: If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to
        speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a
        copy of this page for your records.</p>
        <p>If you agree to participate in this research, press the <strong>CONTINUE</strong> button to begin.</p> 
      ","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","cloze","5","118301","0.0-5.0","","","","","","","","","","","","","","[""friends""]","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","133366","0.0-6.0","","","","","","","","","","","","14809","
    <center>
      <div class=""instruction-box"">
        <p>You will now begin the practice trials.</p>
        <p>In each trial, two audio clips will play one after another. You will hear a variety of sentences and phrases spoken by different talkers.</p>
        <p>Each audio clip will only be played once and you will not be able to replay them.</p>
        <p><strong>Your task is to decide which clip sounds more like the speaker was born in Boston.</strong></p>
        <p><strong>These clips come from a range of different people so they might not all sound like your typical Bostonian, but just make your best guess as quickly as possible.</strong></p>        
  </center>
        ","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","154630","0.0-7.0","","","","","","","","","","","","21012","
    <center>   
      <div class=""instruction-box"">   
        <p>Please place your left index finger on the ""S"" key and your right index finger on the ""L"" key.</p>
        <p><img src=""../procedures/keyboard.png"" width=""500"" style=""margin-top:-10px""></p>
        <p>If the <strong>first clip</strong> sounds more like someone who was born in Boston, please <strong>press S</strong>.</p>
        <p>If the <strong>second clip</strong> sounds more like someone who was born in Boston, please <strong>press L</strong>.</p>
        <p><b>Respond as quickly as possible when both clips have finished playing.</b></p>
        <p>This is a timed task. If you do not respond in time, the next question will appear automatically.</p>
        <p><b>Please answer as quickly and accurately as possible.</b></p>
    </center>
        ","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","8","158898","0.0-8.0","","","","","","","","","","","","null","../practice/trial1_clip1.WAV","null","practice_trial1_clip1","practice_speaker","unknown","1","4","unknown","practice_transcript","","","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","9","162913","0.0-9.0","","","","","","","","","","","","null","../practice/trial1_clip2.WAV","l","practice_trial1_clip2","practice_speaker","unknown","2","4","unknown","practice_transcript","","","","","","","","","","","","","",""
